0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:27:25 +0200] "GET /signup/login.jsp HTTP/1.1" 200 4053
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:27:25 +0200] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:27:25 +0200] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:27:49 +0200] "GET /signup/login.jsp HTTP/1.1" 200 4053
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:27:49 +0200] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:27:49 +0200] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:27:50 +0200] "GET /signup/login.jsp HTTP/1.1" 200 4053
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:27:50 +0200] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:27:50 +0200] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:27:50 +0200] "GET /signup/login.jsp HTTP/1.1" 200 4053
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:27:50 +0200] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:27:50 +0200] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:27:50 +0200] "GET /signup/login.jsp HTTP/1.1" 200 4053
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:27:50 +0200] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:27:50 +0200] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:27:50 +0200] "GET /signup/login.jsp HTTP/1.1" 200 4053
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:27:50 +0200] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 798
